resume,assessment,interview,label,group,gender,ageRange,ethnicity
76.249,52.584,63.542,1,A,male,45+,group3
69.304,79.034,74.79,0,B,male,18-24,group3
47.354,66.612,77.853,1,A,male,18-24,group3
73.694,41.66,84.193,1,A,female,18-24,group1
35.786,43.996,69.952,1,B,male,45+,group2
67.984,72.878,95.861,1,A,male,35-44,group3
60.789,39.312,73.746,0,A,male,18-24,group1
51.898,68.454,67.158,1,A,male,45+,group1
74.784,96.055,61.337,1,B,male,35-44,group3
49.158,100,56.128,0,B,female,35-44,group2
78.895,40.039,67.741,1,B,male,18-24,group1
33.068,52.444,49.946,1,B,female,25-34,group2
77.39,83.363,71.23,1,A,female,35-44,group3
77.275,46.61,66.522,1,A,male,18-24,group3
49.338,48.204,65.64,0,B,male,25-34,group2
52.925,91.771,69.892,0,A,female,35-44,group2
69.14,48.896,71.236,0,B,female,45+,group3
79.734,63.398,49.559,1,B,male,35-44,group1
89.131,96.833,68.194,1,B,male,45+,group2
46.631,64.654,89.475,1,A,male,18-24,group1
44.209,97.827,43.128,1,B,female,25-34,group2
80.501,72.768,62.088,0,B,male,45+,group3
50.428,37.458,46.853,0,B,female,18-24,group1
65.896,57.06,75.925,1,A,male,18-24,group3
79.678,57.868,75.558,1,B,female,35-44,group2
55.862,53.777,63.299,0,A,female,25-34,group1
50.858,64.917,71.923,0,A,male,35-44,group2
100,46.999,59.116,0,B,female,18-24,group2
100,70.169,64.704,1,B,male,25-34,group2
91.221,61.357,67.229,1,B,male,35-44,group1
88.427,51.878,61.869,1,A,male,35-44,group1
59.661,52.694,52.829,0,B,female,18-24,group3
75.652,54.607,74.746,0,A,male,35-44,group3
100,42.765,81.464,0,B,male,25-34,group2
65.277,65.336,59.992,0,A,male,18-24,group1
87.768,66.95,49.911,0,B,male,18-24,group2
74.704,65.411,73.136,0,B,male,18-24,group3
83.693,29.726,65.381,1,B,female,18-24,group3
83.518,95.811,86.773,1,A,male,45+,group1
67.55,54.583,64.499,1,B,male,45+,group3
71.724,51.615,81.013,0,B,male,18-24,group3
86.768,50.001,80.445,0,B,female,35-44,group3
72.774,34.337,41.358,1,B,female,25-34,group3
76.363,97.542,52.466,0,B,female,25-34,group3
60.898,100,70.493,1,A,male,25-34,group3
66.061,61.512,94.626,1,A,male,25-34,group1
70.635,93.027,77.448,1,B,female,25-34,group2
60.338,64.281,36.247,1,A,male,45+,group2
67.069,99.895,69.759,1,B,male,18-24,group1
79.376,55.612,74.336,1,A,male,45+,group1
74.672,45.92,69.482,0,B,male,35-44,group2
80.615,52.97,76.602,0,A,female,45+,group2
53.733,63.63,100,0,B,male,35-44,group3
74.009,69.485,68.2,1,B,female,18-24,group1
38.831,95.027,46.233,1,B,female,45+,group2
83.147,77.979,79.051,0,A,male,35-44,group2
83.165,35.815,58.595,0,B,male,18-24,group2
64.048,95.192,81.468,1,A,male,18-24,group1
60.959,62.273,32.657,1,A,male,18-24,group1
59.685,79.558,65.696,1,A,male,45+,group2
40.729,65.16,65.529,1,A,female,25-34,group1
56.057,70.121,70.214,1,B,male,45+,group3
60.138,74.567,100,1,B,male,35-44,group1
69.175,50.178,81.972,1,A,male,25-34,group1
80.846,40.067,62.501,1,A,male,25-34,group3
61.763,66.813,64.277,1,B,female,45+,group1
83.633,80.815,71.621,0,B,male,18-24,group2
74.684,53.859,55.533,1,B,male,18-24,group2
57.671,66.305,64.512,0,B,male,25-34,group2
90.252,58.274,73.909,1,A,male,35-44,group3
73.965,89.136,64.069,1,A,female,18-24,group1
51.273,72.483,53.062,0,B,male,35-44,group1
47.024,59.118,71.426,0,B,female,35-44,group2
33.217,43.382,69.718,0,A,female,45+,group2
63.38,68.753,74.064,1,A,male,45+,group3
68.243,84.315,54.19,1,B,female,25-34,group1
75.23,69.154,49.146,1,B,male,45+,group2
53.22,58.661,69.657,0,B,female,35-44,group1
99.25,44.269,43.27,1,A,male,18-24,group3
46.577,55.646,66.535,0,B,female,18-24,group2
75.37,57.624,76.709,1,A,male,35-44,group1
75.536,77.465,73.954,1,B,female,25-34,group1
49.496,57.345,75.827,0,A,male,25-34,group3
51.211,86.615,88.878,0,A,male,18-24,group2
63.827,95.796,64.74,0,B,female,25-34,group2
71.383,33.997,55.421,1,A,male,45+,group2
67.696,41.851,47.905,0,A,female,35-44,group1
69.051,50.682,76.546,1,A,female,35-44,group1
62.936,49.436,77.169,1,A,male,35-44,group1
100,72.33,80.781,1,B,female,35-44,group1
48.362,61.729,62.782,0,A,female,35-44,group2
66.87,99.144,48.486,1,B,female,18-24,group1
60.215,74.578,77.161,1,A,male,25-34,group2
65.609,63.129,59.628,1,B,female,18-24,group2
66.851,54.531,66.127,0,B,female,35-44,group1
71.34,61.163,59.743,0,B,female,18-24,group2
78.091,62.291,50.418,0,B,female,35-44,group1
39.894,55.595,81.034,1,B,female,18-24,group2
92.783,55.861,37.188,1,B,female,25-34,group1
62.478,79.21,49.35,1,A,female,25-34,group1
85.552,68.649,66.661,1,A,female,35-44,group2
88.277,46.004,80.918,0,B,female,35-44,group2
58.275,64.216,75.782,1,B,male,35-44,group3
79.401,74.643,65.697,0,B,female,35-44,group2
84.677,100,77.438,1,A,male,35-44,group2
60.237,48.83,46.771,1,B,male,18-24,group1
65.812,74.266,77.319,1,A,female,45+,group1
77.974,81.168,59.55,1,B,male,18-24,group3
80.564,56.951,61.434,1,A,male,45+,group2
88.409,85.961,67.229,1,A,male,45+,group3
57.34,76.887,57.739,0,B,female,18-24,group1
64.631,70.398,41.533,0,B,female,35-44,group3
59.172,96.762,67.686,1,A,male,25-34,group1
51.86,56.136,77.34,0,B,female,35-44,group3
67.101,60.727,53.226,0,A,male,45+,group3
84.007,74.057,62.706,0,A,female,35-44,group3
67.087,70.146,67.485,1,A,female,45+,group3
56.912,90.398,51.107,0,A,male,25-34,group1
99.337,78.88,66.963,1,A,male,25-34,group3
54.137,40.852,48.744,0,A,female,25-34,group1
49.123,66.859,59.118,1,A,female,18-24,group3
46.003,57.713,66.626,0,B,female,45+,group3
79.355,61.027,62.39,1,B,male,45+,group1
87.708,93.095,52.429,1,B,female,35-44,group3
100,50.387,65.363,1,B,female,35-44,group3
78.872,73.517,55.551,1,B,male,25-34,group1
82.715,66.741,53.613,1,A,male,35-44,group1
81.502,74.646,59.983,1,B,male,45+,group1
71.153,36.671,54.51,0,A,female,35-44,group2
76.356,75.52,60.54,1,B,female,18-24,group2
80.143,60.728,83.431,1,A,female,35-44,group3
45.617,84.812,52.422,0,B,female,25-34,group1
100,92.618,75.359,1,A,male,18-24,group1
80.73,58.411,54.838,0,B,female,25-34,group2
81.801,71.927,57.709,1,B,male,35-44,group2
26.727,72.477,74.972,0,B,male,18-24,group3
40.906,47.754,55.89,0,A,male,25-34,group3
75.315,62.223,82.062,1,A,female,18-24,group3
69.648,61.016,48.321,1,A,male,45+,group3
85.1,59.631,52.779,0,B,male,45+,group2
63.843,62.253,81.594,0,B,male,25-34,group1
64.101,49.905,51.029,0,B,male,25-34,group3
98.319,57.174,57.747,0,B,male,18-24,group3
62.069,92.694,61.388,1,B,female,35-44,group1
82.219,61.938,87.831,1,B,female,25-34,group3
58.496,45.6,67.024,1,A,female,25-34,group1
63.995,100,61.453,1,B,female,25-34,group1
58.031,88.387,75.075,1,B,male,25-34,group2
64.213,69.482,68.464,0,A,female,45+,group1
88.694,66.357,100,1,B,female,35-44,group1
96.512,68.095,76.407,1,B,female,45+,group2
65.623,33.274,48.546,1,B,male,25-34,group1
56.877,58.455,73.658,0,B,male,35-44,group1
67.206,78.162,70.82,1,B,male,25-34,group1
28.301,67.297,90.707,1,A,male,35-44,group3
94.36,91.956,64.602,1,A,male,35-44,group3
89.217,64.65,50.901,1,A,male,25-34,group2
68.968,28.439,83.262,0,B,female,25-34,group3
76.566,74.914,64.609,1,A,female,18-24,group3
57.22,39.102,40.102,1,A,male,45+,group1
70.402,45.008,79.14,1,A,male,25-34,group3
78.738,37.768,66.243,1,B,female,45+,group2
65.699,83.091,72.843,0,A,female,18-24,group2
91.799,36.353,54.939,0,B,male,45+,group2
85.074,82.97,69.371,1,A,male,18-24,group1
43.189,71.608,57.852,1,A,female,18-24,group2
75.17,78.844,96.455,1,B,male,25-34,group2
70.011,72.988,88.476,1,A,male,18-24,group1
72.522,44.205,76.526,0,A,female,18-24,group2
78.422,38.268,62.071,0,A,female,35-44,group1
87.606,86.759,68.475,1,B,female,35-44,group1
59.176,44.327,82.311,0,B,female,25-34,group3
72.269,75.353,80.969,0,B,male,45+,group2
73.588,57.158,65.306,1,B,female,25-34,group2
69.269,64.494,82.529,1,B,female,45+,group1
66.346,53.447,67.575,0,B,male,18-24,group3
91.784,75.022,99.503,1,A,female,25-34,group2
100,100,59.655,1,A,female,25-34,group3
69.575,58.613,80.284,1,A,male,25-34,group3
49.296,63.302,100,1,B,male,35-44,group2
94.214,45.157,79.268,1,B,female,35-44,group2
87.306,55.562,63.005,1,A,female,35-44,group3
72.555,49.569,52.433,1,B,female,45+,group3
66.389,48.326,81.227,1,B,male,45+,group1
83.501,66.943,70.476,1,A,female,18-24,group3
71.448,84.48,88.529,0,A,female,25-34,group1
76.453,46.848,67.103,1,B,male,18-24,group1
77.259,40.143,80.613,1,B,male,18-24,group3
35.069,54.978,62.701,1,A,female,25-34,group1
56.449,68.424,66.152,0,B,female,35-44,group2
55.223,48.428,82.216,1,A,female,18-24,group2
80.981,43.607,51.17,0,A,female,18-24,group2
100,80.554,59.675,1,A,female,25-34,group3
80.535,58.23,88.076,0,A,male,18-24,group1
62.899,43.575,62.918,0,B,female,35-44,group1
64.952,44.061,74.591,1,B,male,25-34,group3
67.146,79.135,72.07,0,A,male,45+,group2
83.864,58.082,61.2,1,B,female,35-44,group3
46.734,63.017,83.602,0,B,female,18-24,group1
69.281,66.14,65.266,1,A,male,35-44,group2
82.112,43.275,75.626,1,A,female,25-34,group2
86.013,78.414,63.774,1,A,female,35-44,group3
82.088,37.869,67.185,1,B,female,25-34,group3
73.887,73.643,68.081,0,B,male,35-44,group2
81.328,47.919,56.709,1,B,male,25-34,group3
81.642,59.888,51.594,1,A,female,35-44,group1
48.199,46.242,100,1,B,male,25-34,group2
61.651,91.802,51.693,1,B,female,45+,group2
69.183,82.5,81.832,1,B,male,45+,group2
75.175,96.15,72.591,0,A,female,45+,group3
62.715,60.523,80.102,1,B,male,25-34,group3
86.246,63.799,56.488,0,B,male,18-24,group2
79.101,82.691,59.396,1,B,female,35-44,group3
63.071,55.665,56.311,0,A,female,25-34,group3
54.608,78.898,70.717,1,B,male,45+,group1
44.508,71.246,67.074,0,A,male,35-44,group2
59.487,71.696,67.16,0,B,female,35-44,group2
57.533,68.394,54.171,1,A,male,35-44,group2
69.948,92.243,76.11,1,B,male,18-24,group2
68.379,76.138,79.598,0,B,female,25-34,group3
85.316,52.838,58.496,1,A,male,25-34,group1
79.123,65.35,66.131,0,A,male,45+,group2
92.563,67.89,76.509,1,A,female,35-44,group2
61.848,70.541,60.739,1,B,male,45+,group3
82.193,76.342,78.064,1,B,female,25-34,group2
78.196,78.494,77.813,1,A,male,45+,group3
88.905,74.95,79.39,1,A,female,45+,group2
87.231,90.022,86.186,1,A,male,18-24,group2
63.722,76.545,85.686,0,B,male,45+,group2
70.079,79.671,73.47,0,A,male,18-24,group2
47.721,70.266,44.258,1,B,female,18-24,group2
92.099,85.334,70.1,0,A,male,25-34,group2
54.549,11.627,86.717,0,B,male,35-44,group1
54.984,52.845,51.709,0,A,female,35-44,group3
49.3,49.551,67.014,0,A,male,35-44,group3
95.318,57.677,100,0,B,male,18-24,group1
43.554,56.881,44.48,0,A,female,25-34,group1
52.85,46.292,66.073,0,B,male,25-34,group3
72.479,80.912,64.767,0,A,male,35-44,group3
90.364,60.552,61.131,0,B,female,18-24,group3
38.522,49.114,70.41,1,B,female,45+,group1
68.377,59.496,51.294,1,A,male,35-44,group3
46.302,83.995,69.242,0,A,male,45+,group1
80.6,74.419,87.978,1,A,male,25-34,group2
79.706,60.893,60.286,1,A,male,35-44,group3
86.95,76.363,54.919,1,A,female,25-34,group2
65.884,69.654,73.962,1,B,female,45+,group3
74.372,58.352,73.44,1,A,female,35-44,group2
41.527,53.607,57.8,0,A,female,18-24,group3
74.297,69.292,70.287,1,A,male,45+,group1
46.649,63.727,75.79,1,B,male,25-34,group1
49.021,62.609,69.841,1,B,female,35-44,group1
54.608,66.437,89.929,1,A,male,45+,group1
44.831,87.45,54.529,1,A,male,35-44,group1
77.596,77.792,74.495,1,B,female,18-24,group3
61.645,35.114,57.403,0,A,male,35-44,group3
75.499,100,85.023,0,A,male,18-24,group2
47.829,39.49,67.826,0,A,male,45+,group3
62.629,72.954,66.829,1,A,female,25-34,group1
76.665,65.777,86.357,1,A,male,25-34,group1
69.335,64.949,41.534,0,B,female,35-44,group1
67.2,71.478,65.695,1,A,female,35-44,group2
47.607,71.9,63.46,1,B,male,18-24,group2
63.205,64.701,76.831,1,A,female,25-34,group3
58.909,27.312,59.889,0,B,female,25-34,group1
45.915,79.43,69.249,1,B,female,35-44,group1
74.386,100,65.951,1,A,female,25-34,group3
83.135,75.271,62.1,0,B,male,35-44,group2
77.746,100,61.389,1,A,male,35-44,group3
87.758,68.365,55.858,1,A,female,18-24,group2
49.448,63.797,63.508,1,B,female,45+,group3
76.736,63.288,69.218,1,A,male,45+,group1
72.71,71.947,73.191,1,B,male,45+,group3
63.573,56.878,62.929,0,B,female,18-24,group2
98.152,64.025,75.464,1,B,male,35-44,group2
54.8,69.87,79.571,0,A,female,18-24,group1
78.367,69.705,65.125,0,B,male,45+,group2
83.036,87.773,83.788,1,B,female,25-34,group2
64.83,98.759,61.849,1,B,male,25-34,group1
70.917,55.683,96.297,0,A,female,45+,group1
70.262,48.477,39.633,1,A,female,45+,group2
75.435,89.555,72.239,0,B,female,18-24,group1
61.454,100,79.946,1,B,female,18-24,group2
63.985,54.874,71.982,1,B,male,18-24,group2
78.048,59.813,83.852,1,A,female,25-34,group3
74.945,74.117,82.804,1,A,female,35-44,group2
55.042,45.079,65.549,0,A,male,35-44,group2
89.286,68.957,95.111,1,B,male,35-44,group1
73.344,86.286,82.05,1,B,male,25-34,group1
100,42.98,74.744,1,A,female,45+,group2
78.431,43.661,62.99,1,B,female,35-44,group3
73.286,66.446,67.745,1,B,male,25-34,group2
66.086,56.681,39.303,0,B,female,25-34,group2
37.442,44.197,74.133,0,B,female,18-24,group1
37.387,77.284,77.037,1,A,male,45+,group3
57.712,90.728,42.809,1,A,male,45+,group3
55.248,55.392,90.034,1,B,female,25-34,group2
39.153,40.669,79.687,0,A,male,18-24,group1
65.71,79.667,76.068,1,B,female,35-44,group3
66.843,78.577,79.819,1,A,male,45+,group1
73.092,59.816,33.302,0,A,female,45+,group2
46.697,88.861,74.432,0,B,male,35-44,group3
47.6,66.428,66.523,1,A,female,45+,group1
75.47,80.311,68.01,0,B,female,18-24,group2
47.992,100,76.474,1,A,male,45+,group3
46.87,100,55.02,0,B,female,18-24,group1
78.974,79.815,77.928,1,B,male,35-44,group1
74.85,65.185,78.782,1,B,female,18-24,group2
47.961,33.043,40.641,0,A,female,25-34,group1
44.52,66.812,84.749,1,A,male,45+,group2
78.867,83.619,74.17,1,B,male,25-34,group2
64.643,58.382,60.283,0,B,female,25-34,group3
84.61,45.559,78.483,0,A,female,45+,group3
98.38,83.498,66.323,0,B,female,45+,group2
49.578,75.334,67.336,1,A,female,45+,group1
89.375,77.901,77.746,1,A,female,18-24,group2
96.407,51.181,79.11,1,B,male,18-24,group1
54.076,49.713,57.325,1,B,male,18-24,group3
76.012,89.949,48.668,0,A,female,18-24,group2
64.575,61.854,68.759,1,B,male,45+,group3
76.804,62.91,65.856,1,B,female,45+,group2
73.586,51.055,66.914,0,B,male,18-24,group2
86.274,84.221,67.557,0,A,female,25-34,group2
34.952,79.258,56.549,1,B,male,18-24,group1
78.144,56.981,85.433,1,B,female,25-34,group1
74.3,53.349,39.851,0,A,female,25-34,group1
77.671,32.484,89.127,0,B,male,45+,group3
29.631,80.203,52.5,1,A,male,45+,group3
71.221,56.879,75.459,1,B,female,35-44,group1
74.239,90.179,42.099,0,A,female,25-34,group3
65.333,80.006,92.28,1,A,male,25-34,group3
78.567,48.976,72.356,1,B,male,45+,group2
81.302,100,69.869,0,B,female,18-24,group3
100,85.974,52.336,1,B,male,18-24,group2
43.411,68.747,40.119,0,B,female,25-34,group3
86.528,68.362,61.378,1,B,male,25-34,group3
100,58.747,49.244,1,A,female,35-44,group3
85.645,33.996,72.661,1,B,male,35-44,group1
74.583,79.279,76.98,0,B,female,35-44,group3
67.115,79.988,79.377,0,B,male,35-44,group2
53.484,84.849,84.463,1,A,male,25-34,group3
82.64,64.208,99.493,0,B,female,25-34,group1
65.281,39.659,71.541,1,A,male,25-34,group1
74.961,95.018,62.704,0,A,female,45+,group2
63.666,47.787,76.36,1,A,female,45+,group3
66.118,67.169,58.386,1,A,female,25-34,group3
95.219,76.146,61.545,1,A,female,25-34,group3
64.044,79.244,67.382,1,B,female,18-24,group1
46.656,65.008,61.596,0,A,male,45+,group2
66.787,55.551,68.133,1,B,female,25-34,group1
46.75,64.19,87.307,1,B,female,45+,group3
61.859,47.631,57.132,1,A,female,18-24,group1
81.766,57.7,73.081,1,A,female,18-24,group2
66.438,56.163,75.005,1,A,male,18-24,group3
72.98,60.656,58.784,1,A,male,25-34,group2
68.249,67.87,75.741,1,B,female,45+,group2
72.106,90.715,80.199,0,B,female,18-24,group3
60.847,66.837,71.81,1,A,male,35-44,group2
72.041,87.482,46.324,1,B,male,18-24,group1
99.422,37.411,67.388,1,A,female,35-44,group2
93.833,48.9,79.068,0,B,female,18-24,group2
85.336,86.437,96.822,1,B,male,25-34,group1
64.434,52.652,79.047,1,B,male,25-34,group3
81.122,52.407,88.828,1,A,male,45+,group1
77.046,57.832,61.003,1,A,male,18-24,group2
62.196,56.755,85.921,0,B,female,18-24,group1
42.57,57.927,79.875,1,A,male,35-44,group1
40.182,73.225,43.863,1,B,male,25-34,group1
78.102,61.005,72.156,1,A,male,18-24,group1
49.429,26.149,66.944,1,A,male,25-34,group3
72.046,49.272,51.462,1,B,male,45+,group3
87.885,24.238,65.565,0,A,female,35-44,group2
86.768,77.934,49.248,1,A,female,45+,group1
82.473,57.365,46.469,0,B,female,25-34,group1
75.439,77.534,54.084,0,A,male,18-24,group3
94.111,65.801,55.917,1,B,male,25-34,group2
62.407,46.467,82.326,0,A,female,25-34,group1
56.255,74.873,63.066,1,B,male,25-34,group2
95.815,72.136,91.457,1,B,male,25-34,group1
79.159,76.125,51.933,1,A,female,35-44,group3
70.56,60.969,69.549,1,B,male,45+,group1
92.136,62.18,73.035,0,A,female,35-44,group1
72.556,93.972,86.915,1,A,female,35-44,group2
74.129,33.511,65.152,0,A,male,25-34,group3
90.988,93.019,77.661,1,B,male,35-44,group3
47.167,57.932,75.911,1,B,female,35-44,group3
27.251,64.15,62.972,1,A,female,25-34,group1
57.393,58.045,59.324,1,B,male,25-34,group1
90.009,45.183,56.306,1,A,male,18-24,group3
69.914,76.271,85.106,1,B,female,35-44,group3
75.883,84.745,56.183,1,B,female,35-44,group1
88.137,19.618,90.785,1,B,female,45+,group3
69.315,100,53.007,1,A,female,35-44,group2
73.662,46.517,98.803,1,B,female,35-44,group3
77.307,40.271,65.928,1,A,female,25-34,group3
43.775,58.411,93.919,0,A,male,18-24,group1
63.886,63.966,66.193,1,A,female,18-24,group2
83.307,29.35,57.176,1,A,male,18-24,group3
77.61,66.442,71.031,0,B,female,45+,group3
74.818,61.275,72.724,1,A,female,18-24,group2
54.812,75.299,71.571,1,B,male,45+,group3
52.359,29.202,76.317,1,B,male,25-34,group2
43.161,89.244,70.596,1,A,female,18-24,group1
66.615,36.08,77.243,0,A,male,25-34,group3
100,54.802,62.838,1,A,female,25-34,group1
62.257,52.947,75.987,0,A,male,18-24,group2
87.952,63.5,75.197,1,B,female,25-34,group1
54.741,41.683,80.423,0,B,male,35-44,group3
84.926,65.306,79.905,0,B,female,18-24,group2
61.851,50.4,54.92,0,B,male,35-44,group1
70.182,37.906,53.306,0,B,female,25-34,group3
72.822,60.298,72.416,1,A,female,35-44,group3
69.416,43.633,64.416,0,A,male,25-34,group1
72.594,95.524,68.779,1,B,female,35-44,group2
54.804,78.27,70.688,0,A,male,35-44,group3
84.794,100,50.227,1,A,female,45+,group1
32.681,65.941,59.86,1,B,male,18-24,group1
80.674,55.663,54.862,1,A,female,25-34,group3
71.337,63.114,87.492,1,B,female,35-44,group3
67.572,100,72.421,0,B,male,18-24,group3
84.09,100,71.2,1,B,male,45+,group3
73.492,73.531,49.322,1,A,female,35-44,group1
50.368,55.694,55.745,0,B,male,18-24,group2
82.879,82.357,81.122,0,B,female,25-34,group1
82.368,84.178,62.096,1,A,female,25-34,group2
20.295,82.735,75.755,0,A,male,18-24,group1
60.754,62.337,57.344,1,A,female,35-44,group1
69.972,67.429,39.635,0,A,female,45+,group2
63.014,84.852,59.018,0,A,female,25-34,group2
82.865,82.882,83.97,1,A,female,45+,group3
37.855,58.844,55.975,0,B,male,35-44,group1
79.757,27.984,79.554,1,B,male,35-44,group3
50.105,57.357,98.025,1,B,male,25-34,group1
48.815,61.923,63.285,0,A,female,18-24,group3
75.671,43.646,78.322,1,B,male,18-24,group1
59.366,72.297,53.071,1,B,male,35-44,group3
61.429,49.274,88.155,0,B,male,35-44,group3
74.985,62.406,45.447,0,A,female,45+,group3
66.528,72.863,70.203,1,A,female,45+,group3
69.153,72.237,83.403,0,B,female,18-24,group2
71.703,62.36,70.073,0,B,female,25-34,group3
43.28,63.154,54.293,1,B,female,18-24,group3
52.136,68.114,57.159,1,A,female,18-24,group2
43.489,56.118,52.747,1,A,female,18-24,group1
60.32,86.285,62.173,1,B,female,25-34,group2
57.355,100,81.456,0,B,female,18-24,group3
30.103,51.631,71.073,1,B,male,45+,group3
72.457,69.492,40.006,0,B,male,18-24,group2
29.77,62.497,69.797,0,A,male,45+,group2
54.309,35.372,98.781,1,A,male,18-24,group2
85.028,90.796,63.077,0,B,female,35-44,group1
68.627,79.12,73.462,0,B,female,25-34,group3
98.111,88.691,59.899,1,B,female,18-24,group1
54.472,50.588,99.724,0,A,female,45+,group2
64.867,69.117,88.075,1,B,female,35-44,group2
49.778,94.251,72.508,1,B,male,18-24,group3
50.547,56.929,57.85,1,B,male,18-24,group1
66.978,79.216,82.401,1,B,male,25-34,group3
64.221,65.237,56.657,1,B,female,45+,group3
56.513,34.609,65.391,0,B,female,25-34,group3
39.595,84.226,90.459,1,B,female,25-34,group3
61.641,87.0,57.149,0,B,female,35-44,group2
61.331,69.296,64.659,0,A,female,35-44,group2
40.721,53.406,61.958,1,B,male,35-44,group3
81.682,55.222,84.905,0,A,female,35-44,group2
62.856,89.775,75.203,0,B,female,45+,group3
75.651,79.518,76.126,1,B,male,45+,group1
89.225,44.656,91.542,1,B,male,45+,group2
58.032,70.666,64.26,1,B,male,25-34,group1
62.278,69.862,84.617,1,B,female,25-34,group1
60.994,59.432,66.029,0,B,female,18-24,group2
66.652,45.581,82.001,1,B,male,25-34,group1
81.961,29.349,75.798,0,A,male,35-44,group2
49.521,50.373,58.143,0,B,female,25-34,group3
52.463,66.117,76.002,1,B,male,45+,group3
87.434,66.452,70.395,1,B,male,25-34,group2
59.35,84.067,70.852,1,A,male,45+,group2
50.557,77.155,63.403,0,A,female,35-44,group1
73.867,87.162,79.365,1,B,male,25-34,group2
